query3: please insert here a short description
 airport_code | pasajeros 
--------------+-----------
 SWT          |         8
 RGK          |        51
 CEE          |        80
 NYA          |        82
 USK          |       131
 KXK          |       158
 KLF          |       168
 UCT          |       169
 GDX          |       253
 KGP          |       257
 NFG          |       279
 DYR          |       283
 CNN          |       340
 TBW          |       341
 PEZ          |       356
 GRV          |       364
 IJK          |       440
 UIK          |       443
 ULY          |       524
 URS          |       616
 UUD          |       622
 SKX          |       677
 VOZ          |       867
 PKC          |       870
 HTA          |       911
 STW          |       922
 NYM          |       939
 NOJ          |       999
 GDZ          |      1014
 ABA          |      1155
 BQS          |      1161
 NAL          |      1201
 RTW          |      1304
 NBC          |      1333
 YKS          |      1339
 SLY          |      1430
 OGZ          |      1431
 ASF          |      1516
 KEJ          |      1658
 MMK          |      1661
 BTK          |      1722
 BAX          |      1850
 UUA          |      2411
 VKT          |      2470
 TOF          |      2479
 KRO          |      2524
 SGC          |      2568
 PES          |      2681
 NNM          |      2696
 MQF          |      2718
 NJC          |      2747
 NOZ          |      2803
 UUS          |      3008
 MJZ          |      3016
 ARH          |      3173
 VVO          |      3409
 OMS          |      3551
 HMA          |      3818
 ESL          |      4081
 NSK          |      4101
 REN          |      4340
 URJ          |      4432
 NUX          |      4739
 GOJ          |      5071
 KGD          |      5179
 KJA          |      5806
 CEK          |      5847
 AAQ          |      5990
 CSY          |      6021
 EGO          |      6071
 TJM          |      6374
 MCX          |      6632
 OVS          |      6916
 MRV          |      7015
 SCW          |      7285
 IKT          |      7518
 KUF          |      7632
 UFA          |      7852
 KRR          |      8382
 ROV          |      8412
 VOG          |      8526
 BZK          |      9316
 KVX          |      9545
 ULV          |     10153
 KZN          |     10474
 KHV          |     12956
 PEE          |     18122
 AER          |     19182
 SVX          |     20628
 OVB          |     27477
 VKO          |     29701
 LED          |     35867
 DME          |     76137
 SVO          |     77909
(94 filas)

