query4: please insert here a short description
 flight_id | asientos_vacios 
-----------+-----------------
       246 |             402
       248 |             402
       252 |             402
       253 |             402
       254 |             402
       256 |             402
       257 |             402
       260 |             402
       261 |             402
       262 |             402
       263 |             402
       264 |             402
       267 |             402
       269 |             402
       270 |             402
       274 |             402
       280 |             402
       283 |             402
       284 |             402
       285 |             402
       287 |             402
       290 |             402
       291 |             402
       293 |             402
       294 |             402
       296 |             402
       299 |             402
       300 |             402
       303 |             402
       304 |             402
      3462 |             402
      3464 |             402
      3465 |             402
      3467 |             402
      3469 |             402
      3470 |             402
      3471 |             402
      3472 |             402
      3478 |             402
      3481 |             402
      3482 |             402
      3483 |             402
      3484 |             402
      3488 |             402
      3489 |             402
      3493 |             402
      3494 |             402
      3498 |             402
      3501 |             402
      3503 |             402
      3505 |             402
      3507 |             402
      3509 |             402
      3513 |             402
      3514 |             402
      3515 |             402
      3516 |             402
      3519 |             402
      3520 |             402
      3521 |             402
      5243 |             402
      5245 |             402
      5246 |             402
      5248 |             402
      5251 |             402
      5253 |             402
      5255 |             402
      5256 |             402
      5257 |             402
      5258 |             402
      5259 |             402
      5261 |             402
      5263 |             402
      5264 |             402
      5266 |             402
      5269 |             402
      5276 |             402
      5277 |             402
      5280 |             402
      5281 |             402
      5282 |             402
      5285 |             402
      5287 |             402
      5289 |             402
      5291 |             402
      5292 |             402
      5294 |             402
      5295 |             402
      5296 |             402
      5298 |             402
      5306 |             402
      5311 |             402
      5313 |             402
      5315 |             402
      5318 |             402
      5320 |             402
      5322 |             402
      5323 |             402
      5324 |             402
      5325 |             402
      5326 |             402
      5327 |             402
      5329 |             402
      5330 |             402
      5334 |             402
      5335 |             402
      5338 |             402
      5339 |             402
      5340 |             402
      5342 |             402
      5343 |             402
      5346 |             402
      5347 |             402
      5349 |             402
      5350 |             402
      5357 |             402
      5358 |             402
      5361 |             402
      5362 |             402
      5363 |             402
      7718 |             402
      7722 |             402
      7724 |             402
      7725 |             402
      7728 |             402
      7729 |             402
      7730 |             402
      7731 |             402
      7733 |             402
      7740 |             402
      7742 |             402
      7743 |             402
      7745 |             402
      7746 |             402
      7747 |             402
      7750 |             402
      7751 |             402
      7752 |             402
      7754 |             402
      7756 |             402
      7757 |             402
      7758 |             402
      7759 |             402
      7760 |             402
      7761 |             402
      7764 |             402
      7765 |             402
      7767 |             402
      7774 |             402
      7777 |             402
      9822 |             402
      9823 |             402
      9824 |             402
      9826 |             402
      9827 |             402
      9828 |             402
      9830 |             402
      9832 |             402
      9833 |             402
      9839 |             402
      9840 |             402
      9842 |             402
      9843 |             402
      9848 |             402
      9850 |             402
      9851 |             402
      9852 |             402
      9854 |             402
      9855 |             402
      9856 |             402
      9857 |             402
      9859 |             402
      9863 |             402
      9865 |             402
      9866 |             402
      9867 |             402
      9868 |             402
      9871 |             402
      9874 |             402
      9876 |             402
      9881 |             402
      9884 |             402
      9885 |             402
      9886 |             402
      9887 |             402
      9892 |             402
      9894 |             402
      9895 |             402
      9896 |             402
      9897 |             402
      9898 |             402
      9899 |             402
      9900 |             402
      9902 |             402
      9904 |             402
      9905 |             402
      9910 |             402
      9911 |             402
      9912 |             402
      9913 |             402
      9916 |             402
      9918 |             402
      9919 |             402
      9920 |             402
      9921 |             402
      9923 |             402
      9924 |             402
      9928 |             402
      9930 |             402
      9937 |             402
     10876 |             402
     10877 |             402
     10878 |             402
     10879 |             402
     10880 |             402
     10883 |             402
     10887 |             402
     10888 |             402
     10889 |             402
     10890 |             402
     10891 |             402
     10893 |             402
     10894 |             402
     10897 |             402
     10898 |             402
     10899 |             402
     10900 |             402
     10902 |             402
     10904 |             402
     10907 |             402
     10908 |             402
     10909 |             402
     10913 |             402
     10917 |             402
     10918 |             402
     10919 |             402
     10921 |             402
     10923 |             402
     10925 |             402
     10927 |             402
     14533 |             402
     14536 |             402
     14538 |             402
     14539 |             402
     14542 |             402
     14544 |             402
     14545 |             402
     14549 |             402
     14554 |             402
     14555 |             402
     14558 |             402
     14560 |             402
     14562 |             402
     14564 |             402
     14565 |             402
     14567 |             402
     14568 |             402
     14569 |             402
     14572 |             402
     14573 |             402
     14574 |             402
     14575 |             402
     14577 |             402
     14578 |             402
     14579 |             402
     14580 |             402
     14582 |             402
     14588 |             402
     14592 |             402
     14593 |             402
     30575 |             402
     30577 |             402
     30578 |             402
     30579 |             402
     30583 |             402
     30584 |             402
     30587 |             402
     30588 |             402
     30591 |             402
     30593 |             402
     30597 |             402
     30599 |             402
     30600 |             402
     30601 |             402
     30605 |             402
     30607 |             402
     30608 |             402
     30609 |             402
     30610 |             402
     30612 |             402
     30613 |             402
     30616 |             402
     30617 |             402
     30621 |             402
     30622 |             402
     30623 |             402
     30627 |             402
     30630 |             402
     30634 |             402
     30635 |             402
(300 filas)

